species,family,Symbiont,incidence,method,n,ref,populations,comment
Pityohyphantes phrygianus,Linyphiidae,Wolbachia,0.92,Directed PCR,36,(Gunnarsson Goodacre and Hewitt 2009),3 Sweden(3),NA
Pityohyphantes phrygianus,Linyphiidae,Rickettsia,0.08,Directed PCR,36,(Gunnarsson Goodacre and Hewitt 2009),3 Sweden(3),NA
Erigone atra,Linyphiidae,Rickettsia,0.67,Directed PCR,772,(Goodacre et al. 2009),25  England(25),NA
Erigone atra,Linyphiidae,Wolbachia,0.05,Directed PCR,796,(Goodacre et al. 2009),25  England(25),NA
Mermessus fradeorum,Linyphiidae,Rickettsia,0.43,Directed PCR,44,(Curry et al. 2015),1 Kentucky,NA
Mermessus fradeorum,Linyphiidae,Wolbachia,0.32,Directed PCR,44,(Curry et al. 2015),1 Kentucky,NA
Amaurobius fenestralis,Amaurobiidae,Wolbachia,0,Directed PCR,16,(Duron et al. 2008),1 France,NA
Amaurobius fenestralis,Amaurobiidae,Cardinium,0,Directed PCR,16,(Duron et al. 2008),1 France,NA
Agelenopsis aperta,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),﻿1 Tennessee,NA
Agelenopsis aperta,Araneidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),﻿1 Tennessee,NA
Araneus diadematus,Araneidae,Wolbachia,0,Directed PCR,28,(Duron et al. 2008),2 Belgium(1) England(1),NA
Araneus diadematus,Araneidae,Cardinium,0,Directed PCR,28,(Duron et al. 2008),2 Belgium(1) England(1),NA
Argiope bruennichi,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Argiope bruennichi,Araneidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Argiope lobota,Araneidae,Wolbachia,0,Directed PCR,16,(Duron et al. 2008),2 Israel(1) Spain(1),NA
Argiope lobota,Araneidae,Cardinium,0,Directed PCR,16,(Duron et al. 2008),2 Israel(1) Spain(1),NA
Cyclosa conica,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Cyclosa conica,Araneidae,Cardinium,0.4,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Larinioides cornutus,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 England,NA
Larinioides cornutus,Araneidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 England,NA
Larinioides sclopetarius,Araneidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Larinioides sclopetarius,Araneidae,Cardinium,0,Directed PCR,20,(Duron et al. 2008),1 Germany,NA
Dysdera crocata,Dysderidae,Wolbachia,0,Directed PCR,2,(Duron et al. 2008),1 France,NA
Dysdera crocata,Dysderidae,Cardinium,0,Directed PCR,2,(Duron et al. 2008),1 France,NA
Linyphia triangularis,Linyphiidae,Wolbachia,0.58,Directed PCR,26,(Duron et al. 2008),3 Germany(1) England(2),NA
Linyphia triangularis,Linyphiidae,Cardinium,0.44,Directed PCR,26,(Duron et al. 2008),3 Germany(1) England(2),NA
Neriene clathrata,Linyphiidae,Wolbachia,0,Directed PCR,20,(Duron et al. 2008),1 Belgium,NA
